label,text0,text1
25,brain fluid buildup delay giffords rehab,brain fluid buildup runny delay giffords rehab
6,trailer talk week movie rite mechanic week opportunity,trailer talk week movie rite opportunity
80,rnc appoints chairman tampa convention effort visit tampa republican nati tampa fl,rnc appoints tampa effort visit tampa republican tampa
89,gbagbo camp futile cut ivory coast economy,gbagbo camp futile coast ivory cut economy
43,chinese president lost translation powerful leader meet expect tran,chinese expect lost translation powerful leader meet president tran
42,england fishing community current management system broken edf,england community current system broken edf
59,protest reform start yemen hundred anti government protester gathered sanaa,reform start yemen hundred anti government protester
63,stuxnet lead chernobyl russian,stuxnet lead russian chernobyl
61,iphone share smartphones phone,phone share smartphones iphone
49,uploaded youtube video nba final lakers celtic game memory highlig,celtic youtube video nba final lakers uploaded highlig memory game
79,feed epic sci fi car ad kia optimum super bowl commercial video trendhunter supe,feed epic sci fi car ad kia super bowl supe
75,naughty facebook started sharing personal detail site day turn fb,naughty facebook started sharing personal particular site day deform fb
79,super bowl commercial,super commercial bowl
53,bruce will fave kardashian lol,will fave kardashian lol
48,attack journalist escalate egypt,attack arab republic of egypt journalist escalate egypt
22,keith olbermann join current tv report,keith olbermann join current report
56,opinion christina sounded amazing super bowl america making big deal,opinion christina sounded super america making big deal
76,sundance day strange celebrity encounter steve carell elijah wood full day sundanc,sundance mean solar day unknown celebrity encounter steve carell elijah wood full mean solar day sundanc
37,acai berry supplement weight loss associated content heard oprah win,acai connect berry supplement weight loss associated content heard oprah passing win
81,finished watching black swan twisted mental strain take embrace role natalie portman incredible,finished swan twisted mental strain take embrace role natalie portman incredible
13,hot air breaking rahm ballot tcot lt state totally corrupt,hot air breaking rahm ballot submit tcot department of state lt state totally corrupt
50,charlie sheen abuse,abuse sheen charlie
79,music featured motorola xoom super bowl commercial,commercial message music featured motorola xoom super bowl commercial
6,rite movie review fan movie deal battle good evil,rite review movie deal good
85,potential replacement steve job,potential line replacement steve job
59,yemen president signal won stay freedomwar egypt jan syria feb,yemen president signal won stay freedomwar egypt jan syria
